outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"Michael Gregoritsch","Bundesliga",2010,24,2,"SV Kapfenberg",teams,""
resolved,"Michael Keane","Championship",2015,44,5,"Burnley",player_stats,""
resolved,"Michael Olise","Championship",2019,19,0,"Reading",player_stats,""
resolved,"Michael Olise","Championship",2020,44,7,"Reading",player_stats,""
resolved,"Michail Antonio","Championship",2010,21,1,"Reading",player_stats,""
resolved,"Michail Antonio","Championship",2012,37,7,"Sheffield Wednesday",teams,"Sheff Wed"
resolved,"Michail Antonio","Championship",2013,27,4,"Sheffield Wednesday",teams,"Sheff Wed"
resolved,"Michail Antonio","Championship",2015,4,2,"Nottingham Forest",alias,"Nott'm Forest"
resolved,"Michy Batshuayi","Süper Lig",2021,33,14,"Beşiktaş",player_stats,"Besiktas"
resolved,"Michy Batshuayi","Süper Lig",2022,19,12,"Fenerbahçe",player_stats,""
resolved,"Michy Batshuayi","Süper Lig",2023,27,12,"Fenerbahçe",player_stats,""
resolved,"Miguel Crespo","Süper Lig",2021,23,1,"Fenerbahçe",player_stats,""
resolved,"Miguel Crespo","Primeira Liga",2021,3,1,"Estoril",player_stats,""
resolved,"Miguel Crespo","Süper Lig",2022,23,3,"Fenerbahçe",player_stats,""
resolved,"Miguel Crespo","Süper Lig",2023,10,0,"Fenerbahçe",player_stats,""
resolved,"Miguel Crespo","Süper Lig",2025,19,0,"Başakşehir",player_stats,"Basaksehir"
resolved,"Mika Biereth","Eredivisie",2022,12,2,"Waalwijk",teams~,"RKC Waalwijk"
resolved,"Mike Tresor","Eredivisie",2019,20,5,"NEC Nijmegen",teams,""
resolved,"Mike Tresor","Eredivisie",2020,34,4,"NEC Nijmegen",teams,""
resolved,"Milan Badelj","UEFA Europa League",2008,6,1,"Dinamo Zagreb",player_stats,""
resolved,"Milan Škriniar","Süper Lig",2024,16,3,"Fenerbahçe",player_stats,""
resolved,"Milan Škriniar","Süper Lig",2025,24,2,"Fenerbahçe",player_stats,""
resolved,"Milos Kerkez","Eredivisie",2022,33,3,"AZ Alkmaar",player_stats,""
resolved,"Milot Rashica","Eredivisie",2016,33,2,"Vitesse",player_stats,""
resolved,"Milot Rashica","Eredivisie",2017,19,3,"Vitesse",player_stats,""
resolved,"Milot Rashica","Süper Lig",2022,26,4,"Galatasaray",player_stats,""
resolved,"Milot Rashica","Championship",2022,4,0,"Norwich",player_stats,""
resolved,"Milot Rashica","Süper Lig",2023,29,5,"Beşiktaş",player_stats,"Besiktas"
resolved,"Milot Rashica","Süper Lig",2024,28,3,"Beşiktaş",player_stats,"Besiktas"
resolved,"Milot Rashica","Süper Lig",2025,25,1,"Beşiktaş",player_stats,"Besiktas"
resolved,"Miralem Pjanić","Süper Lig",2021,20,0,"Beşiktaş",player_stats,"Besiktas"
resolved,"Mislav Orsic","UEFA Champions League",2025,14,2,"Pafos",player_stats,""
resolved,"Moatasem Al-Musrati","Primeira Liga",2021,30,1,"SC Braga",player_stats,"Braga"
resolved,"Moatasem Al-Musrati","Primeira Liga",2022,28,3,"SC Braga",player_stats,"Braga"
resolved,"Moatasem Al-Musrati","Süper Lig",2023,9,0,"Beşiktaş",player_stats,"Besiktas"
resolved,"Moatasem Al-Musrati","Primeira Liga",2023,11,3,"SC Braga",player_stats,"Braga"
resolved,"Moatasem Al-Musrati","Süper Lig",2024,16,1,"Beşiktaş",player_stats,"Besiktas"
resolved,"Mohamed Amoura","Ligue 1",2020,35,15,"ES Setif",teams,"ES Sétif"
resolved,"Mohamed Ihattaren","Eredivisie",2018,12,0,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Mohamed Ihattaren","Eredivisie",2019,22,3,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Mohamed Ihattaren","Eredivisie",2020,22,3,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Mohamed Ihattaren","Eredivisie",2024,24,4,"Waalwijk",teams~,"RKC Waalwijk"
resolved,"Mohamed Salah","Premier League",2009,3,0,"El Mokawloon",teams,""
resolved,"Mohamed Salah","Premier League",2010,21,4,"El Mokawloon",teams,""
resolved,"Mohamed Salah","Premier League",2011,15,7,"El Mokawloon",teams,""
resolved,"Mohamed Simakan","Saudi Pro League",2024,26,1,"Al-Nassr",teams,""
resolved,"Mohamed Simakan","Saudi Pro League",2025,28,3,"Al-Nassr",teams,""
resolved,"Mohammed Kudus","Eredivisie",2020,17,4,"Ajax",player_stats,""
resolved,"Mohammed Kudus","Eredivisie",2021,16,1,"Ajax",player_stats,""
resolved,"Mohammed Kudus","Eredivisie",2022,30,11,"Ajax",player_stats,""
resolved,"Mohammed Kudus","Eredivisie",2023,2,1,"Ajax",player_stats,""
resolved,"Morato","Primeira Liga",2021,14,0,"Benfica",player_stats,""
resolved,"Morato","Primeira Liga",2022,9,1,"Benfica",player_stats,""
resolved,"Morato","Primeira Liga",2023,21,0,"Benfica",player_stats,""
resolved,"Morato","Primeira Liga",2024,1,0,"Benfica",player_stats,""
resolved,"Morgan Gibbs-White","Championship",2016,7,0,"Wolves",player_stats,""
resolved,"Morgan Gibbs-White","Championship",2017,13,0,"Wolves",player_stats,""
resolved,"Morgan Gibbs-White","Championship",2020,5,1,"Swansea",player_stats,""
resolved,"Morgan Gibbs-White","Championship",2021,35,11,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Morgan Rogers","Championship",2021,15,1,"Bournemouth",player_stats,""
resolved,"Morgan Rogers","Championship",2022,20,1,"Blackpool",player_stats,""
resolved,"Morgan Rogers","Championship",2023,26,2,"Middlesbrough",player_stats,""
resolved,"Morgan Schneiderlin","Championship",2008,30,0,"Southampton",player_stats,""
resolved,"Morgan Schneiderlin","Championship",2011,42,2,"Southampton",player_stats,""
resolved,"Morten Hjulmand","Bundesliga",2018,29,0,"Admira Wacker",player_stats,""
resolved,"Morten Hjulmand","Bundesliga",2019,30,1,"Admira Wacker",player_stats,""
resolved,"Morten Hjulmand","Bundesliga",2020,9,0,"Admira Wacker",player_stats,""
resolved,"Morten Hjulmand","Primeira Liga",2023,30,3,"Sporting CP",alias,"Sporting"
resolved,"Morten Hjulmand","Primeira Liga",2024,28,2,"Sporting CP",alias,"Sporting"
resolved,"Morten Hjulmand","Primeira Liga",2025,27,3,"Sporting CP",alias,"Sporting"
resolved,"Moussa Dembélé","Championship",2014,11,0,"Fulham",player_stats,""
resolved,"Moussa Dembélé","Championship",2015,43,15,"Fulham",player_stats,""
resolved,"Moussa Dembélé","Saudi Pro League",2023,25,12,"Al-Ettifaq",teams,""
resolved,"Moussa Dembélé","Saudi Pro League",2024,19,7,"Al-Ettifaq",teams,""
resolved,"Moussa Dembélé","Saudi Pro League",2025,22,9,"Al-Ettifaq",teams,""
resolved,"Moussa Diaby","Saudi Pro League",2024,24,5,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"Moussa Diaby","Saudi Pro League",2025,31,4,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"Moussa Sissoko","UEFA Europa League",2007,2,0,"Toulouse",player_stats,""
resolved,"Moussa Sissoko","Championship",2024,40,6,"Watford",player_stats,""
resolved,"Moussa Sissoko","Championship",2025,20,0,"Watford",player_stats,""
resolved,"Myron Boadu","Eredivisie",2017,1,0,"AZ Alkmaar",player_stats,""
resolved,"Myron Boadu","Eredivisie",2018,8,3,"AZ Alkmaar",player_stats,""
resolved,"Myron Boadu","Eredivisie",2019,24,14,"AZ Alkmaar",player_stats,""
resolved,"Myron Boadu","Eredivisie",2020,31,15,"AZ Alkmaar",player_stats,""
resolved,"Myron Boadu","Eredivisie",2023,11,3,"Twente",player_stats,"FC Twente"
resolved,"Myron Boadu","Eredivisie",2025,13,3,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Naby Keïta","Bundesliga",2014,30,5,"Istres",player_stats,"FC Istres"
resolved,"Nacer Chadli","Eredivisie",2011,23,6,"Twente",player_stats,"Twente FC"
resolved,"Nacer Chadli","Eredivisie",2012,22,10,"Twente",player_stats,"Twente FC"
resolved,"Nacer Chadli","Süper Lig",2020,18,3,"Başakşehir",player_stats,"Basaksehir"
resolved,"Nacer Chadli","Süper Lig",2021,28,1,"Başakşehir",player_stats,"Basaksehir"
resolved,"Nacer Chadli","Süper Lig",2022,1,1,"Başakşehir",player_stats,"Basaksehir"
resolved,"Nani","UEFA Europa League",2005,1,0,"Sporting CP",alias,"Sporting"
resolved,"Nani","Primeira Liga",2005,29,4,"Sporting CP",alias,"Sporting"
resolved,"Nani","Primeira Liga",2006,29,5,"Sporting CP",alias,"Sporting"
resolved,"Nani","Primeira Liga",2014,27,7,"Sporting CP",alias,"Sporting"
resolved,"Nani","Süper Lig",2015,28,8,"Fenerbahçe",player_stats,""
resolved,"Nani","Primeira Liga",2018,18,7,"Sporting CP",alias,"Sporting"
resolved,"Nani","Süper Lig",2023,28,4,"Adana Demirspor",teams,""
resolved,"Nani","Primeira Liga",2024,9,1,"Estrela",teams~,"Estrela Amadora"
resolved,"Nathan Aké","Championship",2014,5,0,"Reading",player_stats,""
resolved,"Nathan Collins","Championship",2019,14,0,"Stoke City",player_stats,""
resolved,"Nathan Collins","Championship",2020,22,2,"Stoke City",player_stats,""
resolved,"Nathaniel Clyne","Championship",2008,26,0,"Crystal Palace",player_stats,""
resolved,"Nathaniel Clyne","Championship",2009,22,1,"Crystal Palace",player_stats,""
resolved,"Nathaniel Clyne","Championship",2010,46,0,"Crystal Palace",player_stats,""
resolved,"Nathaniel Clyne","Championship",2011,28,0,"Crystal Palace",player_stats,""
resolved,"Nathan Redmond","Championship",2011,24,5,"Birmingham",player_stats,""
resolved,"Nathan Redmond","Championship",2012,38,2,"Birmingham",player_stats,""
resolved,"Nathan Redmond","Championship",2014,43,4,"Norwich",player_stats,""
resolved,"Nathan Redmond","Süper Lig",2022,25,5,"Beşiktaş",player_stats,"Besiktas"
resolved,"Nathan Redmond","Championship",2024,2,0,"Burnley",player_stats,""
resolved,"Nathan Redmond","Championship",2025,2,0,"Burnley",player_stats,""
resolved,"Nathan Tella","Championship",2022,39,17,"Burnley",player_stats,""
resolved,"Nathan Tella","Championship",2023,3,1,"Southampton",player_stats,""
resolved,"Nathan Zézé","Saudi Pro League",2025,31,2,"NEOM",teams,"NEOM SC"
resolved,"Neal Maupay","Championship",2017,42,12,"Brentford",player_stats,""
resolved,"Neal Maupay","Championship",2018,43,25,"Brentford",player_stats,""
resolved,"Neco Williams","Championship",2021,14,2,"Fulham",player_stats,""
resolved,"Nélson Semedo","Primeira Liga",2015,12,1,"Benfica",player_stats,""
resolved,"Nélson Semedo","Primeira Liga",2016,31,1,"Benfica",player_stats,""
resolved,"Nélson Semedo","Süper Lig",2025,26,1,"Fenerbahçe",player_stats,""
resolved,"Nemanja Gudelj","Eredivisie",2010,29,2,"NAC Breda",player_stats,""
resolved,"Nemanja Gudelj","Eredivisie",2011,16,1,"NAC Breda",player_stats,""
resolved,"Nemanja Gudelj","Eredivisie",2012,34,5,"NAC Breda",player_stats,""
resolved,"Nemanja Gudelj","Eredivisie",2014,32,11,"AZ Alkmaar",player_stats,""
resolved,"Nemanja Matić","Eredivisie",2010,27,2,"Vitesse",player_stats,""
resolved,"Nemanja Matić","Primeira Liga",2011,16,1,"Benfica",player_stats,""
resolved,"Nemanja Matić","Primeira Liga",2012,26,3,"Benfica",player_stats,""
resolved,"Nemanja Matić","Primeira Liga",2013,14,2,"Benfica",player_stats,""
resolved,"Neymar","Saudi Pro League",2023,3,0,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"N'Golo Kanté","Saudi Pro League",2023,30,2,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"N'Golo Kanté","Saudi Pro League",2024,31,4,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"N'Golo Kanté","Saudi Pro League",2025,18,2,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"N'Golo Kanté","Süper Lig",2025,14,2,"Fenerbahçe",player_stats,""
resolved,"Nico González","Primeira Liga",2023,25,2,"Porto",player_stats,""
resolved,"Nico González","Primeira Liga",2024,17,5,"Porto",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2010,15,5,"Porto",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2011,20,2,"Porto",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2012,29,0,"Porto",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2013,13,0,"Porto",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2020,27,1,"Benfica",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2021,28,0,"Benfica",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2022,31,1,"Benfica",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2023,31,2,"Benfica",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2024,31,6,"Benfica",player_stats,""
resolved,"Nicolás Otamendi","Primeira Liga",2025,30,2,"Benfica",player_stats,""
resolved,"Nicolas Seiwald","Bundesliga",2020,15,0,"FC Liefering",teams,""
resolved,"Nicolás Tagliafico","Eredivisie",2017,15,1,"Ajax",player_stats,""
resolved,"Nicolás Tagliafico","Eredivisie",2018,29,2,"Ajax",player_stats,""
resolved,"Nicolás Tagliafico","Eredivisie",2019,24,3,"Ajax",player_stats,""
resolved,"Nicolás Tagliafico","Eredivisie",2020,25,1,"Ajax",player_stats,""
resolved,"Nicolás Tagliafico","Eredivisie",2021,22,2,"Ajax",player_stats,""
resolved,"Nicolò Zaniolo","Süper Lig",2022,10,5,"Galatasaray",player_stats,""
resolved,"Nicolò Zaniolo","Süper Lig",2025,4,0,"Galatasaray",player_stats,""
resolved,"Niklas Beste","Eredivisie",2019,6,0,"Emmen",teams,"FC Emmen"
resolved,"Niklas Beste","Primeira Liga",2024,13,0,"Benfica",player_stats,""
resolved,"Nikola Maksimović","Süper Lig",2023,18,0,"Hatayspor",teams,""
resolved,"Noa Lang","Eredivisie",2020,1,0,"Ajax",player_stats,""
resolved,"Noa Lang","Eredivisie",2023,11,4,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Noa Lang","Eredivisie",2024,29,11,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Noa Lang","Süper Lig",2025,13,0,"Galatasaray",player_stats,""
resolved,"Noni Madueke","Eredivisie",2020,24,7,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Noni Madueke","Eredivisie",2021,18,3,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Noni Madueke","Eredivisie",2022,5,1,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Noussair Mazraoui","Eredivisie",2017,8,0,"Ajax",player_stats,""
resolved,"Noussair Mazraoui","Eredivisie",2018,28,1,"Ajax",player_stats,""
resolved,"Noussair Mazraoui","Eredivisie",2019,13,0,"Ajax",player_stats,""
resolved,"Noussair Mazraoui","Eredivisie",2020,19,0,"Ajax",player_stats,""
resolved,"Noussair Mazraoui","Eredivisie",2021,25,5,"Ajax",player_stats,""
resolved,"Nuno Mendes","Primeira Liga",2019,9,0,"Sporting CP",alias,"Sporting"
resolved,"Nuno Mendes","Primeira Liga",2021,2,0,"Sporting CP",alias,"Sporting"
resolved,"Nuno Tavares","Primeira Liga",2019,11,1,"Benfica",player_stats,""
resolved,"Nuno Tavares","Primeira Liga",2020,14,0,"Benfica",player_stats,""
resolved,"Ola Aina","Championship",2017,44,0,"Hull City",player_stats,""
resolved,"Oleksandr Zinchenko","Eredivisie",2016,12,0,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Oleksandr Zinchenko","Eredivisie",2025,2,0,"Ajax",player_stats,""
resolved,"Oli McBurnie","Championship",2017,17,9,"Barnsley",player_stats,""
resolved,"Oli McBurnie","Championship",2018,42,22,"Swansea",player_stats,""
resolved,"Oli McBurnie","Championship",2021,28,0,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Oli McBurnie","Championship",2022,38,13,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Oli McBurnie","Championship",2025,37,17,"Hull City",player_stats,""
resolved,"Oliver Skipp","Championship",2020,45,1,"Norwich",player_stats,""
resolved,"Oliver Skipp","Championship",2025,34,1,"Leicester",player_stats,""
resolved,"Óliver Torres","Primeira Liga",2014,26,7,"Porto",player_stats,""
resolved,"Óliver Torres","Primeira Liga",2016,29,3,"Porto",player_stats,""
resolved,"Óliver Torres","Primeira Liga",2017,19,0,"Porto",player_stats,""
resolved,"Óliver Torres","Primeira Liga",2018,25,2,"Porto",player_stats,""
resolved,"Olivier Boscagli","Eredivisie",2019,12,0,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Olivier Boscagli","Eredivisie",2020,30,2,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Olivier Boscagli","Eredivisie",2021,28,4,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Olivier Boscagli","Eredivisie",2022,7,1,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Olivier Boscagli","Eredivisie",2023,33,3,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Olivier Boscagli","Eredivisie",2024,30,1,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Ollie Watkins","Championship",2018,41,10,"Brentford",player_stats,""
resolved,"Ollie Watkins","Championship",2019,46,25,"Brentford",player_stats,""
resolved,"Omar Marmoush","Premier League",2016,15,2,"Wadi Degla",teams,""
resolved,"Ömer Toprak","Süper Lig",2022,23,1,"Antalyaspor",teams,""
resolved,"Ömer Toprak","Süper Lig",2023,22,0,"Antalyaspor",teams,""
resolved,"Ondrej Duda","Saudi Pro League",2025,27,0,"Al-Ettifaq",teams,""
resolved,"Oussama Idrissi","Eredivisie",2015,16,3,"Groningen",player_stats,"FC Groningen"
resolved,"Oussama Idrissi","Eredivisie",2016,27,5,"Groningen",player_stats,"FC Groningen"
resolved,"Oussama Idrissi","Eredivisie",2018,32,8,"AZ Alkmaar",player_stats,""
resolved,"Oussama Idrissi","Eredivisie",2019,25,13,"AZ Alkmaar",player_stats,""
resolved,"Oussama Idrissi","Eredivisie",2022,27,4,"Feyenoord",player_stats,""
resolved,"Oussama Targhalline","Süper Lig",2022,6,0,"Alanyaspor",player_stats,""
resolved,"Oussama Targhalline","Eredivisie",2024,6,0,"Feyenoord",player_stats,""
resolved,"Oussama Targhalline","Eredivisie",2025,25,2,"Feyenoord",player_stats,""
resolved,"Ozan Kabak","Süper Lig",2018,13,0,"Galatasaray",player_stats,""
resolved,"Pablo","Primeira Liga",2022,15,2,"Famalicao",teams,"Famalicão"
resolved,"Pablo Sarabia","Primeira Liga",2021,29,15,"Sporting CP",alias,"Sporting"
resolved,"Pascal Struijk","Championship",2019,5,0,"Leeds",player_stats,""
resolved,"Pascal Struijk","Championship",2023,23,3,"Leeds",player_stats,""
resolved,"Pascal Struijk","Championship",2024,35,5,"Leeds",player_stats,""
resolved,"Paul Onuachu","Süper Lig",2023,21,15,"Trabzonspor",player_stats,""
resolved,"Paul Onuachu","Süper Lig",2025,30,22,"Trabzonspor",player_stats,""
resolved,"Paul Wanner","Eredivisie",2025,22,3,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Pau Víctor","Primeira Liga",2025,32,10,"SC Braga",player_stats,"Braga"
resolved,"Pedro Gonçalves","Primeira Liga",2019,33,5,"Famalicao",teams,"Famalicão"
resolved,"Pedro Gonçalves","Primeira Liga",2021,27,8,"Sporting CP",alias,"Sporting"
resolved,"Pedro Gonçalves","Primeira Liga",2022,33,15,"Sporting CP",alias,"Sporting"
resolved,"Pedro Gonçalves","Primeira Liga",2023,32,11,"Sporting CP",alias,"Sporting"
resolved,"Pedro Gonçalves","Primeira Liga",2024,14,5,"Sporting CP",alias,"Sporting"
resolved,"Pedro Gonçalves","Primeira Liga",2025,27,13,"Sporting CP",alias,"Sporting"
resolved,"Pedro Mendes","Primeira Liga",2012,3,0,"Sporting CP",player_stats,""
resolved,"Pedro Mendes","Primeira Liga",2023,13,0,"Estrela",teams,"CF Estrela"
resolved,"Pedro Neto","Primeira Liga",2017,1,0,"SC Braga",player_stats,"Braga"
resolved,"Pedro Porro","Primeira Liga",2020,30,3,"Sporting CP",alias,"Sporting"
resolved,"Pedro Porro","Primeira Liga",2021,23,4,"Sporting CP",alias,"Sporting"
resolved,"Pedro Porro","Primeira Liga",2022,14,2,"Sporting CP",alias,"Sporting"
resolved,"Pepe","Primeira Liga",2002,29,2,"Maritimo",player_stats,"Marítimo"
resolved,"Pepe","Primeira Liga",2003,30,1,"Maritimo",player_stats,"Marítimo"
resolved,"Pepe","Primeira Liga",2005,24,1,"Porto",player_stats,"FC Porto"
resolved,"Pepe","Primeira Liga",2006,25,4,"Porto",player_stats,"FC Porto"
resolved,"Pepe","Süper Lig",2017,23,2,"Beşiktaş",player_stats,"Besiktas"
resolved,"Pepe","Süper Lig",2018,10,3,"Beşiktaş",player_stats,"Besiktas"
resolved,"Pepe","Primeira Liga",2018,13,2,"Porto",player_stats,"FC Porto"
resolved,"Pepe","Primeira Liga",2019,25,1,"Porto",player_stats,"FC Porto"
resolved,"Pepe","Primeira Liga",2020,27,2,"Porto",player_stats,"FC Porto"
resolved,"Pepe","Primeira Liga",2021,21,1,"Porto",player_stats,"FC Porto"
resolved,"Pepe","Primeira Liga",2022,24,0,"Porto",player_stats,"FC Porto"
resolved,"Pepe","Primeira Liga",2023,22,1,"Porto",player_stats,"FC Porto"
resolved,"Perr Schuurs","Eredivisie",2018,1,0,"Ajax",player_stats,""
resolved,"Perr Schuurs","Eredivisie",2019,10,1,"Ajax",player_stats,""
resolved,"Perr Schuurs","Eredivisie",2020,27,1,"Ajax",player_stats,""
resolved,"Perr Schuurs","Eredivisie",2021,22,0,"Ajax",player_stats,""
resolved,"Perr Schuurs","Eredivisie",2022,2,0,"Ajax",player_stats,""
resolved,"Philip Billing","Championship",2015,13,1,"Huddersfield",player_stats,""
resolved,"Philip Billing","Championship",2016,24,2,"Huddersfield",player_stats,""
resolved,"Philip Billing","Championship",2020,34,8,"Bournemouth",player_stats,""
resolved,"Philip Billing","Championship",2021,40,10,"Bournemouth",player_stats,""
resolved,"Philipp Max","Eredivisie",2020,31,5,"PSV Eindhoven",player_stats~,"PSV"
